_type,_id,_revision,_page.next,regionas,telkinio_pav,m_vietos_kodas,m_vietos_pav,koord,data,vandens_temp,suspend_medziagos,sarmingumas,deguonis_istirpes,ph,skaidrumas,elektr_laidis,biochem_deg_suvartojimas,amonio_azotas,nitritu_azotas,nitratu_azotas,azotas_mineralinis,azotas_bendras,fosfatu_fosforas,fosforas_bendras,anglingumas,chlorofilas_a,kalcio_karbonatas,gyvsidabris,kadmis,nikelis,svinas,varis,chromas,vanadis,aliuminis,alavas,arsenas,cinkas,antracenas,fluorantenas,naftalenas,benz_a_pirenas,benz_b_fluorantenas,benz_k_fluorantenas,benz_ghi_perilenas,inden_123_cd_pirenas,p4_n_nonilfenolis,p4_n_oktilfenolis,p4_nonilfenolis_sakot,p4_tert_oktilfenolis,nonilfenoliai,pentachlorfenolis,benzenas,p12_dichloretanas,p123_trichlorbenzenas,p124_trichlorbenzenas,heksachlorbutadienas,trichloretilenas,tetrachlormetanas,dichlormetanas,tetrachloretilenas,trichlormetanas,aldrinas,dieldrinas,izodrinas,endrinas,alfa_heksachlorcikloheksanas,beta_heksachlorcikloheksanas,gama_heksachlorcikloheksanas,heksachlorbenzenas,pentachlorbenzenas,alfa_endosulfanas,beta_endosulfanas,o_p_ddt,p_p_ddd,p_p_ddt,p_p_dde,simazinas,atrazinas,diuronas,izoproturonas,chinoksifenas,aklonifenas,cibutrinas,terbutrinas,chlorpyrifosas,chlorfenvinfosas,trifluralinas,heptachloras,heptachloro_epoksidas,tributilalavo_katijonas,di2_etilheksilftalatas,bde_28,bde_47,bde_85,bde_99,bde_100,bde_153,bde_154,pcb_28,pcb_52,pcb_101,pcb_118,pcb_138,pcb_153,pcb_180,pfos,dikofolis,alachloras,bifenoksas,cipermetrinas,dichlorvosas,p4_t_oktilfenolio_dietoksilatas,p4_t_oktilfenolio_monoetoksilatas,p4_t_oktilfenolio_trietoksilatas
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,44f38e26-c8ee-4f93-b775-5ca83bea453d,997bfb4a-e4d5-4f6a-b075-c2649ba39065,,Utenos,Stirniai,LTL343,Stirniai,POINT (6124518 605749),2018-04-18,9.4,<2,2.5,94.406,8.6,6.6,236.0,1.9,0.06,0.005,0.19,0.255,0.51,"<0,002","<0,0083",,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,452aa6ea-03a2-40b3-9dab-ec6c165e4ca0,a0b65f59-0145-408a-8cde-453321851de1,,Utenos,Šventas,LTL39,Šventas,POINT (6166706 644760),2018-10-15,11.7,<2,0.94,107.209,8.2,7.3,94.0,0.68,0.06,"<0,001",0.02,0.081,0.62,"<0,002","<0,0083",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,452cce5a-9417-4feb-9a51-8287f0502a13,5fc8b8e3-c7d2-4606-adcf-90bb139f6b9b,,Utenos,Utenykštis,LTL320,Utenykštis,POINT (6147667 627613),2019-08-22,20.1,2.2,3.6,8.7,8.3,2.5,324.0,2.1,0.02,"<0,001",0.04,0.061,0.55,"<0,002",0.015,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,452d5b55-8639-4544-adab-e5d2173ddb02,0d52a069-7066-4165-be71-7f90b30546d2,,Utenos,Alnis,LTL65,Alnis,POINT (6127535 606156),2017-08-09,21.7,"<1,7",1.7,9.2,9.1,5.2,155.0,1.3,"<0,014","<0,001",0.02,0.035,0.64,0.002,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,453eae62-a288-434c-83b1-86a89edd79c2,d6e550c8-51fd-4d24-b6ef-bad9f5ed8539,,Panevėžio,Rašai,LTL462,Rašai,POINT (6184121 608885),2018-07-19,23.4,<2,4.1,111.507,8.8,3,373.0,2.5,"<0,014","<0,001",0.05,0.065,0.62,0.004,0.031,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,454c2024-3355-42d3-b09c-ca11fc12c3f4,8a3e566b-6223-448c-a5a4-07324c77dd25,,Vilniaus,Šventas,LTL446,Šventas,POINT (6121795 629748),2017-08-21,21.2,4.8,5.1,8.1,8.58,0.7,423.0,4.4,0.098,0.007,0.114,0.219,0.4,"<0,014",0.096,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,4561df67-4ed6-4b6b-9aaa-f7d68a0faf3e,8bba3280-4666-4ab4-91fc-bc7e3fb212ed,,Utenos,Šventas,LTL39,Šventas,POINT (6166706 644760),2018-06-13,19.7,<2,0.92,102.423,9.2,6.3,89.0,0.9,0.014,0.016,0.09,0.12,0.56,0.002,0.009,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,45a3046b-65c5-473c-af61-58089a5073f3,e81059c7-4640-4350-a5e7-382d6d3aaedf,,Utenos,Kemėšys,LTL214,Kemešys,POINT (6139653 616527),2020-07-21,23.3,2.6,3.0,6.3,8.8,1.5,264.0,4.5,"<0,014","<0,001",0.09,0.105,0.67,"<0,002",0.034,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,45ee3e1f-19d5-4966-9f10-10e0713acbf0,21e01d7d-c8e5-4f6d-8f47-111b46aafffd,,Šiaulių,Alsėdžių ežeras,LTL258,Alsėdžių ežeras,POINT (6207315 379242),2020-08-20,22.0,3.4,4.0,8.1,7.9,1.85,359.0,3.2,0.031,0.002,0.016,0.049,0.83,"<0,005",0.031,,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,461775e8-d618-4f85-9f65-ee3ad7182dd4,410e8191-6936-40a0-bc0b-b9c41a519c62,,Kauno,Pajiesio tvenkinys,LTL425,Pajiesio tvenkinys,POINT (6068474 494380),2017-09-20,15.2,7.3,5.1,6.1,8.2,0.9,525.0,3.4,0.06,0.006,0.103,0.169,0.9,0.018,0.079,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
